fen,best
2kr4/pppn4/2p1b2r/2P2p2/1P1B2Pq/2P2B2/P2N1PP1/R2Q1RK1 w - - 1 21,g2g3
rn2k1nr/pb1p1ppp/1pq1p3/2p1P3/3P4/2PBP1P1/PP5P/RNBQ1RK1 w kq - 1 11,f1f2
rnb4r/pp1pn3/2p1k2p/4Pq2/4Np1Q/4b3/PPP3PP/3R1R1K b - - 10 19,f5e4
4r1k1/p1p2p2/5r1p/3Q2p1/2PBR1P1/2PN1PKP/P7/3q4 w - - 0 34,d4f6
4k3/1R3R1p/4p1p1/3p2P1/8/8/rPr3PP/6K1 w - - 1 33,f7h7
rn1qkbnr/ppp2ppp/4p3/8/4P3/2Pp1P1P/PP1P3P/RNBQKB1R w KQkq - 0 6,f3f4
6k1/R7/1p2p3/1P1p3p/1p1P4/1P2P1nP/4rr2/3RN1K1 w - - 3 30,d1c1
r1b2rBk/ppp2pp1/2nbpq2/3p4/3P4/2P1PNP1/PPQ2PP1/RN2K2R b KQ - 4 11,h8g8
4q1k1/Q5p1/2p2p2/3b4/8/6RP/PP3PPK/4r3 b - - 2 32,e8e5
rnk1Q2r/pbpp4/1p5p/5p2/3P4/2NB2N1/PPPB2q1/2K1RR2 b - - 2 18,h8e8
2b2b2/4ppp1/1pn5/pN1Rkr1p/P1K3nP/8/1P2P1P1/2B2B2 b - - 5 34,e5e4
2rq1r1k/bb2np1p/p1nBpNpQ/1p6/8/2P2N1P/PPB2PP1/R4RK1 b - - 13 21,e7g8
r3kb1r/1ppq1pp1/p2p4/3Pp2p/2P4n/5B1P/PP1N1P2/R1BQ1R1K w kq - 2 18,f1g1
4Q2k/2p3p1/rp4P1/1q1p1pB1/p7/5P2/6P1/4R2K b - - 2 41,b5e8
r1bqk1nr/pppp2p1/2n4p/2b3NQ/3pP3/8/PPP2PPP/RNB2RK1 b - - 1 8,e8f8
8/6pk/6r1/1p2p1q1/p3Q2p/7P/PP3P1K/4R2N w - - 12 42,f2f3
rnb1k1nr/pp3ppp/8/8/1P5q/6b1/2PPP2P/RNBQKBNR w KQkq - 0 8,h2g3
rn2kb1r/ppp2pp1/3p4/4p3/4P1p1/2N4q/PPPP1P1N/R1BQ1RK1 w kq - 0 12,d1g4
1r1r4/7q/1Pppbbk1/2p1p1p1/2P1PpP1/2B1PP2/7Q/1R1R1BK1 b - - 2 37,h7g7
4Rrk1/3P1pp1/1pN4q/3P4/QP5K/6R1/P5b1/8 w - - 1 38,h4g4
3k1Q1r/r3p1p1/pq1PP3/1p4p1/2p3P1/2N4P/PPP3bK/3R1R2 b - - 0 23,h8f8
r3kb1r/1pq3pp/pBn5/3Qp3/8/8/PP3PPP/3RR1K1 b kq - 2 20,c7b6
r4rk1/p1p1R1pp/b1p5/3p4/3P2n1/PBP5/2P3PP/R1BQ1q1K w - - 0 17,d1f1
3r3k/pq4pp/1p2Q3/2p1P3/5PPb/2N2RnP/PPP2B2/6K1 w - - 0 21,f3d3
r5r1/ppp1p2k/2np4/8/5Q1P/4B3/PPP1KP2/R5q1 b - - 1 22,g1g2
6k1/7p/p1ppbnpQ/1r2p3/3qP1P1/P1N2n2/2P5/R1K2B1R w - - 4 24,c3b5
2k5/pp3R1p/3Kp3/3n4/2Q5/P1q1P3/4r1PP/8 b - - 5 32,c3c4
1Q3R2/8/3rN1p1/p1q2pkp/4p3/3bP3/PP3PP1/6K1 b - - 2 42,d6e6
4k3/1R6/2n1p1p1/p5B1/8/PB3n2/1PP2P1r/2K5 w - - 1 34,g5f4
r7/7p/1n3Pk1/PBb1p1p1/4P1N1/1p5P/5P2/3R2K1 b - - 0 36,a8a5
3r1rk1/1p2R3/p5pp/8/8/1PN3p1/PP4P1/4Rq1K w - - 6 36,e1f1
2r2rk1/pp2Qpbp/3p2p1/3P1P2/8/4B2P/PP6/K1qN2R1 w - - 2 24,e3c1
r2k3r/p1q5/2p1Q1p1/3p3p/N5n1/1P6/P1P2PP1/R4RK1 w - - 1 25,a1e1
r2k3r/pppn1Q1p/3pB2p/8/4P3/4KP2/Pq3P1P/2R4R b - - 6 16,h8f8
r1b3k1/bpp2ppp/1n1p2q1/pP1P2B1/P2N4/2PB4/3Q1PPP/4R1K1 b - - 0 19,g6h5
r1b1kb1r/pp5p/2n1pBB1/2ppN2Q/3P4/P1P5/5PPP/qN2K2R b Kkq - 0 12,h7g6
r1b2r1k/ppp2p2/4pp1p/n3q3/8/Q2B4/PP3PPP/R4RK1 b - - 1 18,a5c6
4r1Qk/1p4bp/6pN/4pp2/8/5P2/Pr4PP/4K3 b - - 5 39,e8g8
r1b2rk1/p1q2ppp/2n5/1R6/2BPp1n1/2P1B3/P1QN1PPP/5RK1 w - - 3 17,c2e4
4r1k1/pp3ppp/8/2p5/2Pp2n1/P2P4/1P4PQ/R3r1K1 w - - 0 23,a1e1
4Q3/2p4k/1p1q2p1/p4p1p/P1P4P/1P4P1/5PK1/8 b - - 0 34,h7h6
8/pp6/2p3kp/2Pp4/1P2qQP1/P5PK/8/8 w - - 14 44,f4f8
r3k2r/pN3p2/1qpBb3/b5pp/6n1/2P5/PP3PPP/R2QKB1R w KQkq - 2 17,b7a5
r1b2rk1/ppqpppbp/6p1/8/2BQP1n1/2N1B2P/PPP2PP1/R4RK1 w - - 3 11,d4d3
3r1rk1/ppp1qp1p/4P1p1/3b3n/3Q4/2B4P/PP2BPP1/3RK2R b K - 0 18,d5g2
2k5/npp3b1/7p/pP1p1qp1/P1nP1p2/2P4P/1B4PN/4QNK1 b - - 0 26,c4b2
8/4K3/6p1/1n2pk1p/4N2P/5PP1/8/8 b - - 4 59,b5d4
6k1/R7/4n2R/4Pp2/6p1/2r3K1/7P/8 w - - 5 49,g3h4
r3k2r/p1pqbp2/4b3/2p3pp/3p4/5QB1/PPP2PPP/RN2R1K1 b kq - 3 17,e8c8
8/6p1/7p/6kP/6P1/p1N3K1/8/2b5 b - - 2 55,c1b2
2r5/p2R1p2/4k2p/1pr1P3/5PP1/3R4/8/6K1 b - - 0 31,a7a5
rnb1k1nr/pp3ppp/2pb4/3p4/2PPP3/6q1/PP1NP2P/RNBQKB1R w KQkq - 0 8,h2g3
r2qkb1r/pp3ppb/2n1p2p/3pn3/3N2PP/1P6/PBP1NP2/R2QKB1R w KQkq - 0 13,d4c6
r2qk1nr/pQ1b1pbp/3pp1p1/1N4N1/2n1P3/8/PP3PPP/R1B2RK1 b kq - 1 12,d7b5
5r1k/3q2pp/p7/2Q5/3p4/P4PR1/5P1P/6K1 b - - 0 39,d4d3
qr4k1/1b1nbppp/3p4/r2P2P1/3Q1p1P/PP6/1B2N1B1/1K1R3R b - - 2 23,b7a6
2r5/p4p1k/q6p/8/1K1Q4/1PB2P2/P1bR3P/Nr6 b - - 7 30,c8a8
2r1kb1r/1b1n1p2/p2pp3/1pq3Bn/3NP3/P1N2B2/1PPQ2PP/R4R1K w k - 1 17,d4b3
Q7/2p2k2/3p4/3Pp3/4q3/4B1Pp/5P2/4R1K1 w - - 0 40,a8h8
r1bb1r1k/p1ppqpp1/7p/3pP2N/6QB/2P5/PP3PPP/R3R1K1 b - - 5 21,e7h4
r4rk1/pp1bppbp/1qnp2p1/8/2P1n3/1P3N2/PB1NBPPP/R2QK2R w KQ - 0 12,b2g7
6R1/p2k4/8/3pB1P1/3P3P/1KP5/P3r3/1r6 w - - 3 44,b3a4
5rk1/p3Q1bp/4N1p1/6P1/4n1q1/2P5/P4BPP/R5K1 b - - 2 22,f8f2
1r6/8/2k1p1p1/p2pP2p/2q2Pp1/R1P1P1P1/R1Q2KP1/1r6 w - - 4 34,a3a5
r3r1k1/ppp3pp/5nn1/3N2B1/3P4/7Q/PPP2PPP/R3q1K1 w - - 1 16,a1e1
r1b1k2r/pp4pp/2p1p3/6q1/3PPn2/B3QN2/P4PPP/R4RK1 w kq - 3 18,f3e5
3r4/p1R4p/1p2pkn1/1P3p2/P1B2P2/6P1/5K1P/8 b - - 12 34,e6e5
6K1/6p1/5pk1/6rp/8/8/8/4R3 b - - 3 57,f6f5
2r2rk1/2pp1ppp/1pb5/3N4/1PQ2P2/P2R4/2P1q1PP/5RK1 w - - 1 23,d5c3
r2q1rk1/pppb1ppp/2n1p3/8/3PQ3/3B1N2/PPP2PPP/2KR3R b - - 2 11,c6b4
8/5pk1/4q1p1/8/4P1Pp/4QK1P/8/8 w - - 6 52,f3f4
6k1/1bqp1ppp/p7/1p1r4/8/1PP2N2/P1Q2PPP/4R1K1 b - - 0 23,h7h6
6r1/ppp3pp/1bpk4/6N1/4P1b1/1Q3r2/P5PP/BN3RK1 w - - 1 21,g1h1
r3k2r/4ppbn/nq1p2p1/2pP1PPp/1p2P2P/p3B2N/PPPQ4/1NKR3R w kq - 0 17,b2b3
5N2/pp1R4/5b1k/2p2pp1/6r1/1P4P1/P5K1/8 b - - 1 53,f5f4
3r1rk1/1p1q1p1p/p3p2Q/2b1P3/8/P1P3R1/1P4PP/R6K b - - 2 23,g8h8
2kr2r1/p1pp1p2/1p5p/1Bbb4/5B2/6PP/PPP2P2/R4RK1 b - - 0 15,c7c6
r1b2rk1/ppp2Npp/2p2b2/8/2Bq4/3P4/PPP1QPPP/R3K2R b KQ - 0 12,f8f7
r2qk1nr/ppp2ppp/1bnp4/8/2BPP3/2N2Q2/PP3PPP/R1B2RK1 b kq - 0 9,c6d4
8/8/6p1/1p1p1k1p/1BpP2bP/2P3N1/P2b1KP1/8 b - - 5 40,f5f4
4kb1r/5ppp/p2p2b1/q1pBp3/P1P1P3/3n2P1/1r1B1P1P/R2Q1KNR w k - 0 15,d2a5
r1b1k1nr/pp6/4p3/3pPp2/3P2pq/3Qb1P1/PP2B2P/RN2NRK1 w kq - 1 17,d3e3
7k/2R4p/6pN/2p5/2P2R2/7r/r7/6K1 b - - 2 37,h3h6
1r3r2/7k/1p1pN1p1/pPq4p/2P1p2P/3P2PK/PQ3R2/4R3 b - - 0 30,c5f2
r2q1rk1/1p1b1p2/p3p1P1/3pPnN1/5P2/P6Q/1B2n2P/1RR4K b - - 1 23,d8g5
r3Qk2/pp1B1pqp/5p2/8/1b3P2/8/bPP3PP/2KRR3 b - - 3 19,a8e8
r1b2rk1/4bppp/p1n1p3/3pP3/3P4/3QPN2/1qB3PP/RN3RK1 b - - 1 16,c6b4
8/2pQ1kq1/1p1p4/1P1P4/2P2PB1/6K1/8/q7 b - - 3 69,f7f6
r1b2rk1/1pp1qppp/p2p4/2n5/2P1P3/1PQ3P1/PB3PBP/3R1RK1 b - - 0 15,c5d7
r6k/ppp2p1p/5P2/q7/6Q1/8/P4PPP/2R1r1K1 w - - 0 20,c1e1
r1bqkbnr/pp2pppp/2np4/2p5/2B1P3/2P2Q2/PP1P1PPP/RNB1K1NR b KQkq - 1 4,c8d7
4r1k1/ppp2ppp/2np4/5P2/5Pn1/2N5/PPBQ2PP/4q1K1 w - - 0 18,d2e1
r1bqk2r/1ppp2pp/p1n5/3QP1b1/2B5/1R3N2/P1P2PPP/4K2R b Kkq - 1 15,g5e7
rn1qkb1r/p3pppp/1pp5/3nNb2/8/1QN1P3/PP1P1PPP/R1B1KB1R b KQkq - 1 7,d5c3
rn1q1rk1/pB3ppp/8/1Pp1b3/Q7/1R2P1P1/P1b2P1P/2B1K1NR w K - 5 16,b7a8
3QqR1k/1b4pp/2p5/pp5P/8/PB6/1PP3P1/3K4 b - - 3 34,e8f8
3qr3/1p3kpp/p1r2b2/2B2QN1/8/2P4P/PP3PP1/R5K1 b - - 2 24,f7g8
8/4qpk1/1p1N2p1/1P5p/5PnP/2Q1p1P1/5b2/5B1K b - - 1 37,g7h6
1R6/3p1kp1/p1bBp3/3qPp2/3P1P1p/7P/P4Qr1/6K1 w - - 0 33,f2g2
3r2k1/pQ5p/1p1q2p1/1P6/2P3P1/Pn1p4/1B4KP/3R4 b - - 4 31,d6f4
2kr1bnr/1p3ppp/Rnp1p3/8/1P3Bb1/2qB1N2/2P2PPP/3Q1RK1 b - - 0 18,b7a6
4r1k1/pp3pb1/2p5/4Bq1b/4R3/1P1P2Q1/2P2P2/6K1 b - - 0 35,e8e6
rn3rk1/pb4pp/1p2Nn2/1Nbq1B2/8/4B2P/PPQ2PP1/2R2RK1 w - - 5 18,e6f8
6k1/5pp1/7p/3Q4/2P2P2/2PP4/r3q2P/6RK w - - 3 36,d5e4
5N2/8/7p/B3P1pk/3P4/7P/5PP1/1r2n1K1 w - - 3 45,e5e6
r3qnk1/pp3ppp/2pb1p2/8/3P4/2PQ1b2/PPB2PPP/R1B3K1 w - - 0 14,d3f3
3rq3/5r1k/8/5nRp/8/3Q3P/3N1KP1/2B2R2 w - - 1 36,d3b1
8/5Qp1/4p3/r1p2P2/7k/r2n1K2/6N1/8 b - - 2 45,h4h3
r1b2k1r/pp1pnp1p/2n2Np1/2q1N3/2P5/8/PP1QPPPP/R3KB1R b KQ - 0 11,c6e5
1Q6/2K4p/4k3/1P1bPp2/3q4/8/8/3q4 b - - 4 60,d1d3
4r1k1/R6p/6pN/5p2/8/5PK1/4r2P/3n4 b - - 5 39,g8f8
2k5/ppp4p/6p1/4p3/1P2P1b1/2PrK3/2PrN1PP/7R w - - 0 23,c2d3
r2q1rk1/1b1nbp2/1p3n1p/p1p1pN2/3pP3/1P1P1PQ1/PBP3PP/2KR1B1R b - - 3 17,g8h8
8/7q/3r2k1/5pP1/1PQ2P2/6K1/8/8 b - - 6 67,h7h5
5rk1/3p1p1p/1bq1p3/6R1/5Q2/2N5/1PP3PK/8 b - - 2 29,g8h8
8/6pp/4Rnk1/q3b1N1/P1p5/5Q2/1r3PPP/R5K1 w - - 5 25,a1e1
5r1k/p5pp/2Q1p3/3p3b/2PP4/3pP3/P4RPP/1r4KR w - - 1 23,f2f1
2kr1b1r/ppq3p1/2p1p3/3pPp2/3Pn3/3BB3/PPP3PP/R2Q1RK1 w - f6 0 17,e5f6
5r1k/6pp/1p6/1B2p3/8/7P/r5Q1/5R1K b - - 0 36,a2g2
1r4k1/8/1p5p/2pP3r/2PpRbp1/3P1pN1/2Q2P2/1R3K1q w - - 0 32,g3h1
r2q2kr/2pnn3/p2p4/1p4Q1/3PP3/2N3p1/PPP2RPP/R5K1 b - - 0 18,e7g6
8/6p1/r6k/pR6/P2K2P1/8/8/8 b - - 8 51,a6g6
r2r2k1/pN2b1p1/6qp/1Q2pp2/1B6/1P2nP2/P5PP/2R2R1K w - - 10 29,b4e7
r1b1r1k1/p1q2ppp/2p5/2Np2N1/3Pn3/1P6/P4PPP/R2QR1K1 b - - 8 19,e4c5
3qr1k1/4R1bp/2p1p1p1/2BpPp2/1P5Q/2P3P1/5P1P/6K1 b - - 2 28,g7f8
r1bqkb1r/p2pnp1p/2p3p1/1p1NP3/2BP4/1Q3N2/PP3PPP/R1B1K2R b KQkq - 0 10,b5c4
2rq1rk1/3bbppp/p3p3/1pp1P1N1/6nQ/2NP4/PPP3PP/R1B2RK1 b - - 2 14,g4e5
2r4r/1p4Q1/p1q2Pk1/3N1b2/3p3n/1P6/PBPR3P/2K5 b - - 0 29,g6h5
2r3k1/6p1/p3p2p/1pNb1p2/1P1Q4/4B1N1/q5PP/5R1K w - - 0 29,g3h5
5k2/1p1R1p1p/5B2/p7/8/2P4P/br3PP1/6K1 b - - 1 28,a5a4
rnb1k2r/pp1p1ppp/1q6/4p3/4P1nb/2PQ1N1P/PP2B1P1/RNB2K1R w kq - 1 11,h3g4
8/8/7B/7R/r6P/5P2/5kPK/8 w - - 5 48,h5c5
8/6p1/4n3/p2p2k1/R6N/4r1PK/7P/8 w - - 4 47,a4a5
r1b1qrk1/ppp1np1p/2n1p1pQ/4p1N1/3P4/2N5/PPP2PPP/2KR1B1R b - - 1 11,e7f5
r3qrnk/pp1b3n/2pp1p2/4pP2/P1B1P1QP/2NP2R1/1PP3P1/R5K1 b - - 4 21,g8h6
2k5/KP6/7p/6p1/B1p3P1/2P4P/3p4/4q3 b - - 0 51,c8c7
r5k1/pb3ppp/4r1n1/8/1q2P3/5B2/1BQ2PPP/R3R1K1 w - - 0 24,a1a4
2r1k2r/3bbpp1/p2ppP1p/7P/1n1NP3/2N1BP2/1PPQ4/q1KR1B1R w k - 1 17,c3b1
8/3p3k/p3p3/1p2PpQ1/8/4B3/P3q1PP/1Br4K w - - 0 35,e3c1
1Q6/5pk1/3P2p1/4b3/1R2Pq1p/7P/5PP1/6K1 w - - 1 40,b4a4
4rk2/5p2/1p3Qp1/p3P3/7R/8/1q3PK1/6N1 b - - 5 39,b2e5
2rq2k1/pp1b3p/4pp2/3pN3/1b1P2Q1/2N5/PPP3PP/R5K1 b - - 1 17,g8h8
r1b1r1k1/p1B2pp1/2p4p/3pP3/5P2/3B3n/P1P3PP/R2QR1qK w - - 7 20,e1g1
r2q1rk1/1p1bnpp1/p3p2p/3n4/1P1P4/P2Q1N2/1B3PPP/1BRR2K1 b - - 6 18,d7b5
2kr3r/1bp2npp/1pq1N3/p4p2/8/1QPBP3/P4PPP/1R2R1K1 w - - 1 18,e6d8
8/4k3/6pp/b2P1pP1/4KP2/3B4/6P1/8 w - - 0 39,e4e5
r5k1/5p1p/p3p1p1/N3P3/P3NPP1/5nQ1/B1r4q/R6K w - - 0 31,g3h2
r3qrk1/4bppp/p4n2/1p1RQ3/1P6/8/PBP1BPPP/5RK1 b - - 0 19,f6d5
r3kb1r/1p1n1ppp/3Ppqn1/1N3QB1/8/8/PP3PPP/R3R1K1 b kq - 3 17,f6f5
4r1k1/pp3ppp/2p3q1/2p1Pn2/4B3/2B4b/PP2QPPP/4R1K1 w - - 2 22,e4f5
2Q5/4Rppk/1p2p2p/2npq3/1P6/5n1P/5PP1/5RK1 w - - 0 29,g1h1
8/1p3k1p/4Rb2/5P2/pNr3P1/P7/2P1RB2/1K1r4 w - - 9 36,b1a2
r1b4r/p2k1N2/2p1R2p/5pp1/3p4/7P/5PP1/4R1K1 b - - 1 31,h8h7
1q4rk/2R1Q1pp/p2N1pr1/n3p3/8/1P2P2P/6P1/3R2K1 b - - 3 36,b8a8
5rk1/p1p2pbp/5qP1/6N1/1pP1p3/4P3/PP2QP1B/1K1r2R1 w - - 0 27,e2d1
7k/1Rp3pp/2Qp1b2/8/2KBP3/7P/2P3P1/1r2q3 b - - 17 33,b1b7
r4rk1/1pp2pp1/p2b3p/4pN2/4P1q1/6Q1/PPP2P1P/R4RK1 b - - 3 18,g4e4
6k1/4n1pp/p2p4/1p6/8/1PP4n/P5PP/R4RqK w - - 5 27,f1g1
r1b2r1k/ppp1q1pQ/5p2/2b2P2/2Bp4/3PnR2/PPPB2PP/RN4K1 b - - 0 14,h8h7
1k6/pp5p/7N/8/1b2p3/1P5P/P4RP1/3r1K2 w - - 1 35,f1e2
8/4n3/6k1/P2n1p1p/3P1B2/3N2P1/4r1rP/R1R2K2 w - - 5 43,f4e5
rnbqr1k1/pppp2p1/3b1n1p/4p1N1/4P3/1QPP4/PP3PPP/RNB1K2R b KQ - 1 8,g8f8
1n3k1r/rbp2pp1/p2qp2p/1p2N3/3PB3/4PQ2/PP3PPP/R4RK1 b - - 2 17,b7e4
R2n3k/2p1q2p/1p3pp1/1P6/2PP4/8/2Q2PPP/6K1 w - - 1 31,c4c5
r2q1rk1/pbp2ppB/1p3n2/4p3/3P1p1Q/2N4R/PPP3PP/R6K b - - 0 16,f6h7
7k/1pr3p1/p2b1r1p/1q3B2/4PpQ1/2PR4/P3KP1P/6R1 b - - 7 30,c7c3
8/p3r1p1/7p/R7/1P1B4/Pk1KP1P1/4N2P/5r2 w - - 3 36,d4a7
8/p7/4pp2/2Pp4/5kPK/P3RP2/2r5/8 w - - 1 36,e3e6
6k1/p4qb1/6R1/4N2R/8/2PQ4/1P6/3K1r2 w - - 6 39,d1e2
r2k3r/pppb1Bpp/8/2b1P3/6n1/3Q1N2/PPP3PP/RNB1R1qK w - - 3 16,e1g1
8/5p2/P7/3q4/6QP/6PK/2p5/2k5 w - - 3 54,a6a7
3q4/5pk1/4p1p1/4R2p/2QP3P/1pP5/1R3PP1/r5K1 w - - 1 32,g1h2
8/1Q6/1p5k/P4pp1/1P2pnq1/8/5PPP/5RK1 w - - 0 32,a5a6
5r2/8/p3p1kp/1p2Q1p1/1PpP2P1/2B1P3/P3RK1P/7q w - - 3 33,f2g3
1k1r3r/1pq1n1pp/B2b1p2/R1p1p3/3pPP2/1QPP3P/1P2N1P1/2B2RK1 b - - 0 17,c7a5
rb2r1k1/1pq2p1p/p1n1pnpB/3p4/3P4/P1PN1Q2/1P1N1PPP/2R2RK1 w - - 6 17,f3f6
2r3kr/p4pp1/8/8/3Q1Pq1/2B1P3/P6b/2KR1R2 b - - 5 40,g4e6
2bkr3/R2p3p/1p3Q2/1Nb3n1/6p1/8/2P1BPq1/4KR2 b - - 1 28,c5e7
rk4n1/1p2pQ2/p2p2p1/4N3/8/1BP1bb1r/PP4P1/3R2K1 w - - 2 25,g1f1
5r1r/pp2k3/2pp4/3Pp1p1/2P1N3/1P3bP1/PR3P2/4R1K1 w - - 8 32,e4g5
5rk1/1bp1bppp/p2p4/1p5R/8/1P1P1Q2/1PqN1PPP/R1B2K2 w - - 2 21,f3b7
r3kb1r/pp1q1pp1/3p4/3Np2p/2BpP3/3P1K2/PPPQ1P2/R6R w kq - 2 18,a2a4
1r3r1k/3q2p1/7p/2B4P/pPn5/P7/K5Q1/3R2R1 b - - 1 39,d7e6
4k3/R7/p1p1K3/8/2p2P2/2r5/8/8 b - - 0 52,c3f3
r2q1rk1/1p3ppp/p1n1p3/6P1/3P4/3Q1N2/PP3PP1/3RK2R b K - 2 18,c6b4
6k1/p4pp1/1p3n1p/3p1B2/3q4/6bP/PPQ2P2/5RK1 b - - 1 24,f6e4
2k4r/pp3ppp/3b4/2p4q/Q2n1Bn1/8/PP2BPP1/RN3RK1 w - - 0 16,f4d6
rn2kr2/pp2p3/2p2nb1/3pQ1Bp/q7/2p2P2/PP4PP/R3R1K1 b q - 1 19,b8d7
r4rk1/ppq3pp/2n1p1n1/3p2N1/N2P2P1/P2Q3P/1P3P2/R4RK1 b - - 0 18,g6f4
3B4/1pp2pk1/p2p2p1/3P4/2P2bP1/1P4KP/P5Q1/6q1 w - - 0 35,g3f3
3k4/5p2/1n1P4/pB6/P6p/6r1/KP6/4R3 b - - 4 37,b6c8
