fen,best
3r3r/ppb1k3/2pqpN2/7p/3P4/1P2Q3/P1P3P1/4RR1K w - - 2 26,e3g5
8/3r4/8/8/3p1k1p/3R1P1K/8/8 w - - 1 48,h3h4
r4rk1/1pp1nppp/6q1/p3P3/1n6/2NNQ1PP/PPP5/2K1R2R w - - 1 20,d3f4
r5k1/ppb1r3/2p3P1/3p3Q/8/2N4n/PPB3PP/R5qK w - - 9 29,a1g1
r3r2k/pp1n1Q1p/1qp3pB/4Pp2/3Pp2b/2P5/PP2B1PP/R4RK1 b - - 2 18,e8e7
5k2/R7/p5rp/1p6/1r2pN2/3n2P1/P4P1P/3R2K1 b - - 0 32,d3f4
2kr3r/1p3Q1p/p1n5/2q3PP/8/PRp2PKb/2P5/7R b - - 2 25,h3f5
r1b2k1r/pp3ppp/3N1q2/4p3/5B2/nQ6/PbP2PPP/3RR1K1 b - - 1 16,e5f4
r1b2r1k/pp1npp1p/3p1npQ/1Bp3N1/3PP3/2P4P/P4PP1/qN3RK1 b - - 4 13,f8g8
7R/pp3p2/4k1p1/4p3/KQ6/1P3R2/r4P2/2q5 w - - 0 38,a4b5
rn4k1/pp3ppp/1b6/8/1P2B3/PQ4B1/3q1PPP/R3q1KR w - - 0 20,a1e1
rn2kb1r/pp3ppp/2p1q3/4N2b/4P3/4BP2/PPPQ2PP/2KR3R b kq - 2 13,e6e5
8/8/p6p/5k1Q/q4P2/8/1P2K3/8 b - - 9 45,f5e4
r1b2r1k/pp4pp/2p5/4np2/2P4P/Q6N/P1P1KPq1/1R5R b - - 0 21,f5f4
rnbq1rk1/p3npp1/1pp1p3/3p2NQ/3P4/4P3/PPPN1PPP/R3K2R b KQ - 3 10,e7g6
6k1/4n1pp/p3p3/1p1p4/3Pb3/1P3qPP/PB1Q1PNK/8 w - - 2 36,g2h4
r6r/pp1nkNpp/2pB3n/4P3/2Pb2b1/3B4/PP4PP/R4R1K b - - 2 20,e7e6
8/1R6/6P1/p7/8/2p2P2/Pbk4P/K7 w - - 1 36,b7b2
r4r1k/p2Q2bp/4R3/8/6p1/1N6/P1P3PP/1R3q1K w - - 2 28,b1f1
r1b2rk1/p1p2ppp/1npb4/4q3/2P5/BP1B4/P2Q1PPP/RN3RK1 w - - 6 15,a3b2
r4k1N/ppp3pp/2np4/2b1p3/4P3/1BNP1p1P/PPP2q2/R1BQ3K w - - 0 17,c1e3
r1b1k2r/pp3ppp/2pb4/3pq3/4n3/1BN2Q2/PPP2PPP/R1B2RK1 w kq - 2 11,c3e4
4r3/1R6/8/P7/2p5/2P2nk1/1P4P1/6K1 w - - 0 62,g2f3
3R4/pp3k1p/2p1qpp1/P4b2/2P5/5B2/1P3PPP/5RK1 w - - 0 25,f1e1
1kr3r1/p1p2R2/1p1p4/3Q4/1P2P3/3PB3/2q3PP/5R1K w - - 0 29,e3g1
1r5k/p2p1r1p/b2q4/2p5/p1P3Q1/P2P2RP/1P3PP1/6K1 b - - 0 28,b8b2
r4q2/pbp1bpk1/1p2pR1p/8/2PP4/2NQ4/PPB3PP/R5K1 b - - 0 16,e7f6
8/p6R/2p2k2/3b1N2/P4KP1/3r1P1P/8/8 w - - 7 46,h7a7
rn1qk2r/ppp1bppp/2b2n2/4N3/4p3/1QPB4/PP1P1PPP/RNB2RK1 b kq - 0 9,e4d3
4Q3/2qN2kp/5bp1/4p3/2b2p2/5P1P/5rPK/8 b - - 1 35,c4f7
r2q1rk1/1b1p1pb1/p4Rp1/1pp3N1/4P3/1nNP3Q/PPP4P/R1B3K1 b - - 0 17,d8f6
r1br2k1/pp3pPp/2n1pq2/8/8/2N2B2/PPQ2PP1/R3K2R b KQ - 2 17,c6d4
2kr3r/ppp2ppp/2n1bn2/1Bb1N3/3qp3/P2P3P/1PPN1PP1/R1BQK2R w KQ - 1 12,e5c6
3r3k/p4Bpb/7p/5P2/1p1b2P1/4QR1P/PP5q/R4K2 w - - 7 34,e3e2
4rQ1k/2p3pp/4r3/8/1P6/P3q2P/6P1/2R2R1K b - - 2 39,e8f8
8/pp3R2/2p5/5Bpk/1Ppr3p/P3r3/6K1/8 b - - 2 46,d4f4
r4rk1/1b4pp/pb6/1p1qpp1Q/8/2P5/PP1BBPPP/3R1RK1 w - - 3 20,d2e3
r3k1nr/p1pq1ppp/bp2p3/n2pP3/1QPP4/B1P2N2/P4PPP/R3KB1R b KQkq - 4 10,d5c4
r7/p1Q3pp/k6N/1p6/2BP1n2/7P/PP3qbK/2R5 w - - 0 29,c7c6
r1bqk1nr/1p1nppbp/p5p1/3Qp3/2B5/2N2N2/PPP2PPP/R1B1K2R b KQkq - 3 9,g8f6
6rk/p1q5/1p4Bp/7P/2P2p2/2B2p1P/5P2/4R1K1 b - - 1 42,g8g7
4R1k1/5ppp/4r1q1/6Pn/7P/1P3P2/1PQ5/1K2R3 b - - 0 31,e6e8
8/1p4q1/pP6/P1NpPRB1/2bP1K2/8/6k1/8 w - - 5 51,g5f6
4r2k/ppp1q1p1/6Qp/7P/4RP2/8/PPP5/2K3R1 b - - 0 29,e7e4
q7/5kp1/2r2p1p/1R2b3/3p2P1/P2Q3P/8/4R2K w - - 1 44,e1b1
r2q1rk1/ppp2p2/2n4Q/8/2b1p3/2P1P1P1/PP3K2/RNB4R b - - 0 16,f7f5
r1bq1rk1/p1pp1ppp/1pnb4/3P4/2B5/2Q2N2/PB3PPP/1R3RK1 b - - 0 14,c6a5
r1b1r1k1/1pqn1p1Q/p3p1B1/2ppb3/6P1/2P1P3/PP1N1P1P/R3K2R b KQ - 6 18,g8f8
4rkr1/pp3p2/8/3p1p2/3Q4/2P1b1qP/PP2R1P1/4R1K1 w - - 11 28,e2e3
2r3k1/5ppp/p3p3/1b2P3/2qPp3/4P3/P2Q2PP/1R2B1K1 w - - 4 30,d2b4
r1bq1rk1/5ppp/4pn2/p2p4/2p2P2/1PQ1PN2/PBP3PP/2KR3R b - - 1 15,f6e4
8/p5b1/1p1p3k/3P2p1/3qP2p/5Q1P/r3B3/5R1K b - - 1 48,d4d2
5k2/p3Npp1/1p5p/3p1Q2/8/4P2P/q1r2nP1/5RK1 b - - 3 29,f2e4
5bk1/2p2p2/1p3np1/pP2p2p/2P2PqP/2NP1K2/P3PP2/1R1Q1R2 w - - 1 20,f3e3
8/1Np3pp/5p2/1p1Pk3/1P1qP3/4nP2/4K1PP/2Q5 b - - 10 45,e3g2
2r3k1/5ppp/2R1p3/1P6/pp2nB2/4P3/1P3PPP/6K1 b - - 0 29,a4a3
2rr2k1/pQ2pp1p/4b1p1/4P3/8/4P3/PP4PP/2K2B1R w - - 1 17,c1b1
8/4q1k1/4P1p1/p3Q1P1/6PK/p7/8/8 b - - 3 46,g7f8
5rk1/1p3ppp/rQb1p3/p5q1/8/2N5/PP3PPP/3RRBK1 w - - 1 21,f1a6
r2q1rk1/pp1b2bp/n2N2n1/3pP3/3p1p2/P4N2/1PQB1PP1/R3KB1R b KQ - 1 16,g6e5
8/3B4/1bP2kp1/3K4/Pr6/6B1/7P/8 w - - 2 51,d5d6
r5k1/2p2p1p/2pn2p1/pp1b4/3P4/1NPQ4/PPB1q1Pb/R3B1K1 w - - 0 21,g1h2
r1bq1rk1/pp1p1ppp/2n1p3/2b5/4P1Q1/3B3P/PB3PP1/RN3RK1 b - - 0 11,d7d5
3R4/p1r2rpk/1p2Qpb1/7p/q6P/4B3/5PP1/5RK1 b - - 3 34,f7e7
5rk1/p1rn1ppp/1p4q1/4P3/2PN1P1n/P3Q3/1P2B2P/2R2RK1 w - - 7 28,g1h1
r2qk2r/1pp2ppp/p7/5Q1n/PP6/2Pn3P/6P1/RNB2RK1 b kq - 2 17,h5g3
3r2k1/q4p2/6p1/P6p/4P3/3p1P2/1P1Q2Pb/R2N1K2 w - - 2 34,a5a6
8/R5pk/6p1/p4p2/K7/8/Prn3PP/7R w - - 0 31,a7a5
8/R5P1/2R5/2P2p1p/2K1r2k/5r2/8/8 w - - 7 44,c4d5
3r1bnr/1k3ppp/p7/1pp3N1/1n6/2P5/PP3PPP/RNBqR1K1 w - - 0 15,e1d1
2b1k3/2B5/3Pp3/4bp1p/1pBp2p1/1P1P2P1/P1K4P/8 b - - 5 39,e8d7
7k/p6r/1pp3NQ/3q4/5p2/1P5P/5PPK/8 b - - 2 38,h8g8
r2q1r1k/2pnb1B1/p2p1pP1/4pP1Q/1p2P2P/1nPP4/PP6/RN3RK1 b - - 0 18,h8g7
8/1r3pk1/4p1p1/7p/2RN4/KP1n2P1/5P1P/8 w - - 9 35,c4c2
8/3b4/4p1p1/3pP1p1/1bkP2P1/1p6/1B2KP2/3N4 b - - 5 53,d7b5
6k1/1R5p/6p1/5p2/1p1PP3/3n1PN1/5P1P/2r3K1 w - - 1 33,g1g2
8/4kp1p/p4np1/1pb2P2/3NK1P1/PP5P/1B6/8 w - - 3 43,e4e5
8/8/1p1r1rp1/8/5kQp/5P2/6K1/8 b - - 5 62,f4e5
6QR/ppkn4/2pb1p2/3p2p1/3P2bp/6P1/q4PKP/6N1 b - - 1 31,h4g3
4r1rk/p4Rp1/1p2N1Qp/2pP4/8/2P5/PP2q1PP/5R1K w - - 13 39,f7g7
r1bqrk2/1p1p1ppB/p2Pp3/6NQ/5n2/2P5/P5PP/R4RK1 b - - 2 18,f4h5
Q7/1p3k2/4p3/3pP1Kp/5nq1/8/PB6/R7 w - - 4 40,g5h6
8/pp2n3/4PpPk/3p3N/3P2RK/1P2r3/P7/8 w - - 5 36,g6g7
4r1k1/p4p2/5Kpp/P3N3/6P1/3p3P/5P2/3R4 w - - 0 33,d1d3
8/pp3Qkp/6p1/2p2pN1/2P4P/1P1r4/P1q3PK/n7 b - - 0 32,g7h6
5rk1/4N1p1/p2p4/1pp4p/2PnP3/PP4qP/6P1/R2Q2K1 b - - 2 25,g8h8
4r1k1/1p5p/p2PPRn1/6q1/P2QR1P1/1P6/6P1/2r3BK w - - 3 39,f6f2
2rQ2k1/5p1p/p3p1pP/1p4P1/q3bP2/3R1B2/PPP5/2K5 b - - 2 27,c8d8
8/2p3R1/1p1p4/1PnP1B1k/r1P2K2/8/8/8 b - - 3 62,h5h6
3r4/1b3kp1/p3Qn1p/1pq5/8/1B6/PPP2PPP/4R1K1 b - - 0 25,f7f8
r4knr/ppN2ppp/2np4/4p3/2B1P2b/2PP4/PP5P/R1BK1R2 b - - 0 14,a8c8
r1bqkb1r/ppp2p1p/3p1np1/n3p3/2B1P3/2PP1Q1P/PP3PP1/RNB1K1NR b KQkq - 0 7,f6h5
R7/8/5Kpk/8/p5r1/8/8/8 b - - 1 53,h6h5
6k1/p4p1p/1P2p3/5p2/P7/8/3p1PPP/1Rr3K1 w - - 1 32,b1c1
4r1k1/5p2/6p1/1p1p2Qp/3N4/2P2PR1/1P3KP1/7q w - - 2 28,g5d5
r1bq1rk1/1p3ppp/p1nbp3/6N1/3p4/2PQ4/PP3PPP/RNB2RK1 b - - 1 11,h7h6
3rk3/1bpRnr1p/p1B1pBpQ/1p2Pp2/7P/P5P1/2q2P2/3R2K1 b - - 0 28,b7c6
5r2/6k1/2p5/3pR2N/3P4/1P3r2/1Pb3QK/2q5 b - - 0 30,g7h6
5rk1/1p5p/p3pPpQ/6B1/3P4/P1q4P/2p3PK/8 b - - 0 33,c3d4
r3r1k1/pp5p/1q3ppQ/3p4/6n1/2P5/PP2BRPP/RN4K1 w - - 1 20,e2g4
4r1k1/p1p1q1p1/1p4Qp/3p4/2nP4/P1P1N1P1/5PP1/5K1R w - - 7 26,e3d5
6R1/1p6/k1b5/p1K5/8/8/8/8 b - - 3 62,a5a4
r2q1rk1/p3np1p/4pQp1/1b1p4/8/2B5/PPP2PPP/1R2R1K1 b - - 1 15,e7f5
8/8/2R5/1P2kp2/P2b4/5KPN/1r3P1P/8 w - - 0 57,h3g5
3r2k1/p4ppp/6q1/1p6/2p1bPPQ/4P2P/P1Br4/2R1R1K1 b - - 6 26,d2c2
2kr3r/ppp2p2/2nb1p2/3p4/7p/3PPN1q/P1PNBP2/R2Q1R1K w - - 0 15,f3h2
1r1R2k1/5pp1/p1p1p2p/4P3/2P4P/P1r4q/2Q2B2/3R2K1 b - - 9 36,b8d8
8/6k1/3p2pp/1p3b2/1P1qNP1P/3P2R1/6PK/r4Q2 w - - 0 39,f1e2
8/p3r1b1/npR4p/2p4k/2P4p/1P4PK/P5P1/5R2 b - - 1 29,h4g3
r1b1k1nr/pppp1ppp/8/q3P3/1n6/5N2/P1PNPPPP/1R1QKB1R w Kkq - 0 10,d2c4
r4Qnr/p2np1pp/1pqk4/4N3/1B1P4/4P3/PP3P1P/4KR2 b - - 1 17,d6e6
r1b1k2r/pp1n1pp1/1qp2n1p/4pPB1/4P3/2NB1N2/PPPK1bPP/R2Q3R w kq - 0 11,g5f6
1k1r4/2pr3p/6p1/N4p2/q3p3/8/1Q3PPP/2R3K1 b - - 1 35,b8c8
2kr3r/2pq2p1/p2b1n1p/2p5/3P4/P1P1B2P/2P1QPP1/1R3RK1 b - - 0 18,c5d4
r1b1kb1r/pp1ppppp/1q6/4n3/3P2n1/8/PP1N1PPP/RNBQKB1R w KQkq - 0 8,d4e5
r3kb1r/pB2p1p1/5p2/6N1/8/8/bPP2P1P/2KRR3 b kq - 0 20,a8b8
r4rk1/pQp2ppp/8/1Bb5/2P5/8/PP3RPP/R1Bq3K w - - 1 17,f2f1
r1k1r3/2R4R/6p1/p7/8/8/6PP/6K1 b - - 3 35,c8d8
6r1/2p5/p1Pp4/1p1P4/1k1Q4/4R3/6q1/K7 b - - 1 54,b4a5
rq2k2r/1pbn1ppp/p3p3/3pP1B1/PQ1P4/5N2/1P3PPP/R4RK1 b kq - 1 15,h7h6
r1bqrb2/pp1p2pk/5p1p/2pB1P2/2Pn3Q/P1NP3R/1P4PP/R1B4K w - - 3 20,h4h5
3r1rk1/p3bpp1/2q3bp/1p1nB3/8/1PPB2Q1/P2N1PPP/R4RK1 b - - 1 18,g6d3
r2bk1nr/p1p2pp1/2Pp4/1P1Np2q/4P3/3Q1bP1/P1P4P/R1B2RK1 w kq - 0 18,d3f3
1Q6/p4ppk/7p/8/5P2/B3r2q/P3r1P1/R5RK w - - 0 29,g2h3
5r1k/p6p/1p1pB2q/2pPp1pn/4PpP1/2P1nP1K/P2Q1R2/1R6 w - - 0 30,g4h5
8/p1PP4/4K1k1/3r1r2/6p1/P7/5P1R/8 w - - 0 53,d7d8q
r1b1r1k1/ppq1bppn/4p1P1/2ppP2Q/5P1P/2N1P3/PPP5/R1B1K2R b KQ - 0 15,h7f8
r3r1k1/ppq2pp1/2n4p/8/2NP2n1/2PB1b2/P4B2/R2Q1RK1 w - - 0 22,d1f3
r2qkb1r/ppp2ppp/5n2/4p3/3n4/3P2PP/PPPBbP1R/R2QKBN1 w Qkq - 0 10,g1e2
r2q1rk1/pp2bppp/4b3/2p1p3/8/2P1P1P1/PPQ1BPP1/RN2K2R b KQ - 1 13,d8b6
6r1/pp4bk/8/4pr1p/P1B2q2/1PN5/2P3Q1/7K b - - 0 32,g7h6
2br1rk1/pQp1n1pp/2pN1q2/8/8/2P1P3/PP2BPPP/R1B1K2R w KQ - 1 14,d6c8
8/p3k1R1/1q2bR2/1p1pP3/1P1p4/P6P/3r4/7K b - - 2 39,e7d8
r1b2k2/pppp1p1B/3n1p2/3P4/5B2/2P5/P4PPP/4R1K1 b - - 0 18,b7b6
r4rk1/ppp2ppp/1n3b2/3q4/3P2b1/2PQ1N2/PPB2PPP/RN3RK1 b - - 4 12,g4f3
r3k2r/pp1bbppp/4qn2/8/3Q4/2N5/PP2BPPP/R1B1R1K1 w kq - 5 13,e2f3
1qrr2kb/5p1p/6p1/1p1P3n/1N6/1P2Bn2/3Q2PP/3RRB1K w - - 0 30,b4c6
r3kb1r/pp1npppb/2p2n1p/qN5P/2B3P1/3P1P2/PPPBQ3/R3K1NR b KQkq - 1 12,a5d8
r4rQk/ppp3pp/2n4N/4P3/4p3/q7/P1P3PP/R4R1K b - - 3 18,f8g8
6k1/1q3p1p/3Q1PpB/2p1p1P1/2r1P3/8/6PK/8 b - - 0 41,c4d4
r5k1/pppq1ppn/2n4p/4r1b1/8/2N2BB1/PPQ2PPP/3RR1K1 w - - 0 17,d1d7
2k5/p1rr2p1/5p1p/1pp5/3pR3/P2P3P/1PP3P1/4R1K1 b - - 3 27,c8d8
3Q3k/pp4pp/b4b2/8/3P1B2/6Pq/PP3P1P/3RR1K1 b - - 0 23,f6d8
r4rk1/bpp2p2/p2p3p/4N2P/1P2P2q/P1PB4/5P2/RN1QK3 w Q - 0 18,e5f3
2kr4/ppp2pp1/8/3N4/4P1n1/6Pr/PPP2qB1/R3Q2K w - - 0 22,g2h3
r3r1k1/1Nb2ppp/p2q1n2/P2p1B2/8/1P2Pn1P/5PP1/R1BQ1RK1 w - - 1 24,d1f3
4k3/1R3p1p/4p1pP/pp2q3/8/P7/2R5/1K6 b - - 1 58,b5b4
6Qk/ppp4p/3p3B/2b1q3/8/7P/PPP3N1/5R1K b - - 0 27,h8g8
r3Q1k1/7p/pn4pB/1p3pN1/3q1n1P/PP6/5PP1/4R1K1 b - - 3 33,a8e8
r2qk2r/pbp1ppbp/1p3np1/4Q1B1/3P4/2PB4/PP3PPP/RN2R1K1 b kq - 0 12,d8d5
r2r4/1Rk1bp2/2bN1nnp/2P1p1p1/q3P3/P4NPP/5PB1/1Q1R2K1 b - - 10 28,c6b7
r1bqkb1r/pppp1ppp/2n5/3Q4/2B1P3/8/PPP2PPP/RNB1K2R b KQkq - 4 7,c6e7
8/pbq2pk1/1p2p1p1/2p4r/2B4r/3P2Q1/P1P2PP1/4R1K1 w - - 2 30,g3c7
r4rk1/7p/p1R3p1/1p2p1Q1/4P3/1bP3P1/1PN2q1P/2K2B1R w - - 1 22,c2a1
rq5k/4n1pp/5p1b/7P/1p1P4/P1PQ2P1/6P1/1B3R1K b - - 2 29,b4a3
1r3rk1/p6p/4npp1/2bB4/4p1PB/2qb2Q1/PP1N1P1P/2KRR3 w - - 0 23,b2c3
6k1/R1B4p/1p3ppQ/8/2P5/2K1P3/2P3bP/4q3 w - - 5 34,c3d4
r2qkr2/4R3/p2p1np1/1p1Q2N1/4P3/2b5/P1P1BPP1/R4K2 b q - 0 18,e8e7
4rQQ1/7k/5n1B/pb1Pp2p/8/KP3r2/P7/8 b - - 0 39,f6g8
2kr3r/1ppq2p1/2n2n1p/b2pp3/P3P3/1Q1PBN2/5PPP/1R2RNK1 b - - 0 18,a5e1
2b3k1/r5pp/4p2r/pB3p1q/2PP4/4P1Q1/PP3PPP/R4RK1 w - - 5 22,g3f3
6k1/p4ppp/8/Q2N4/8/4PqP1/P4R1P/2r3K1 w - - 1 26,f2f1
rq2k2r/pp3p1p/3bpQ2/8/1P1P4/P2B4/5PP1/R4R1K b kq - 0 18,h8f8
1k4Q1/2p5/1p6/7p/6p1/6PP/r2q2BK/8 b - - 4 43,b8a7
1r3rk1/1pp2p2/p2p1BR1/q7/8/2PQ4/PP5P/1K1R4 b - - 0 27,f7g6
8/1k1Q4/2p5/p2p4/6r1/6q1/8/6BK b - - 0 43,b7a6
r1qr4/pb2kppQ/1p2p3/6N1/3n4/P5P1/1PB2P1P/R4RK1 w - - 0 21,h7g7
r4r1k/1bpqbppN/p1n2n2/1p2pN2/4p3/1B1P2QP/PPP2PP1/R1B2RK1 b - - 0 16,h8h7
5k1r/8/p4p2/1p1B1N2/1P2P1K1/P6p/5rp1/2R5 b - - 1 39,h3h2
3rr1k1/p4ppp/8/2p3q1/8/2P1RP2/PPNQ2PP/R6K b - - 0 25,d8d2
2r5/1bRk1pN1/p2p1Q2/1p2r2p/6pN/4P3/qP3PPP/3R2K1 b - - 0 29,d7c7
rbb2rk1/ppq2ppp/4pn2/3p4/3pP3/1P1P4/P1PNBPPP/R1BQK2R w KQ - 2 13,e1g1
1r3rk1/1p1b1ppp/p7/4P3/5P2/1QN4n/PP4PP/3RR1qK w - - 7 23,e1g1
6k1/5p2/6P1/2b5/1p6/3p1Q1R/8/2q4K w - - 2 41,h1g2
3r2k1/1p4pp/4pn2/p7/5P2/1NP5/PP4PP/3r1R1K w - - 0 23,f1d1
r2qkb1r/1b1pnppp/p1n1p3/8/PpN1P3/2P2N2/1PBP1PPP/R1BQ1RK1 b kq - 0 10,b4c3
r2q1rk1/pbpnbppp/1p2p3/3pN2Q/3PnP2/2PBP1N1/PP4PP/R1B2RK1 b - - 5 12,e4g3
8/p2n4/Bn2pk2/B4p2/3P1Kp1/6P1/1P3P1P/8 w - - 2 37,a5c3
r7/kp1P2pp/p4q2/2Q2P2/2P5/8/PP3PpP/6K1 b - - 4 33,b7b6
r3kb1r/p2n1ppp/1p1qp3/1Pp5/2B3n1/3P1b1P/PBP2PP1/RN1Q1RK1 w kq - 0 12,d1f3
2R2r1k/7p/p3Q1p1/1p1N4/4P3/5PKP/5bP1/6q1 w - - 17 38,g3g4
r5k1/p4pp1/2p4p/5b2/q7/2P1QN1P/PP3PP1/2KR4 w - - 5 23,e3e5
r2q1rk1/2pn1pbp/pp4p1/4P3/1P1P1P2/P7/1B1NB1bP/2RQK2R w K - 0 16,h1g1
6k1/2q3pp/bp2p1n1/2p2p1Q/2P1pP2/1B1r4/PP3BPP/5RK1 b - - 4 23,g6f4
3r4/2qkbpp1/2n1p1pr/3pP3/QP1P4/P4N1P/5PP1/2R2RK1 b - - 2 19,c7a7
4rrk1/5pp1/1pN4p/p2p4/8/1Q4Pb/PPR2P1P/2R1q1K1 w - - 2 29,c1e1
r2q1k1r/1pp5/p2p3B/5P2/2B3b1/P1PP3p/1P1Q1P1K/4R3 b - - 3 25,h8h6
k1KB2r1/6r1/8/6P1/1R6/8/8/8 b - - 18 71,g7a7
5r1k/pp2nQbR/2pqP1p1/3p4/8/2N1R3/PP3PPP/6K1 b - - 0 25,h8h7
8/4Rp2/3k4/3Pb3/2p4B/6RP/P4nPK/1r6 w - - 1 35,e7e5
6k1/1p2Q3/p1ppb2r/4p3/4P3/q1NP2P1/2P3K1/5R2 b - - 1 34,a3c3
r1b2rk1/ppb2pp1/4p2p/q1B4Q/2B2P2/3P4/P1P3PP/1R2R1K1 w - - 1 20,b1b5
1r3k2/5P1p/p3p3/4qn2/2Q2R2/3P4/1P6/1K3R2 w - - 0 36,f4e4
r3r1k1/pQ4pp/5B2/2P5/1P2Np2/P7/3Pq1PP/R6K b - - 0 22,e2e4
8/8/6kp/3R2p1/5p2/r4K1P/5BP1/8 w - - 20 64,f3g4
2kr1b1r/ppp2ppp/8/4Pb2/5Pn1/2N2N2/PPnBP1PP/2R1KB1R w - - 11 12,e1d1
rnb1k1nr/bpp2ppp/p2p1q2/3Pp3/1PP5/P7/3NPPPP/R1BQKBNR w KQkq - 3 7,c1b2
5rk1/3nQ2p/4p1pP/8/8/3P2P1/1p2q1BK/8 b - - 1 45,b2b1q
r4rk1/1b2qppp/p2p1n2/1p2p1N1/4P2Q/8/PPP2PPP/R1B1R1K1 b - - 7 15,f6e4
r1b3k1/ppR2n2/3p2p1/3P1pBp/8/8/Pb4PP/4R2K b - - 1 25,f7g5
6k1/8/2R2pK1/pp4pp/3p4/5r2/PP6/8 b - - 3 40,h5h4
